"","Swap.3M.5Y.spread","dUSDHUF","dEURHUF","OIS.3M.spread","EUR.3M.REPO","Eurozone.AAA","Volume.AAA.bond","HUF.3Y.overquote","HUF.5Y.overquote","HUF.3Y.HUF.5Y.overquote","Assets.lt.f.debt","ECB.DEPOSIT","TED.spread","Deviza.tender.DUMMY","Swap.3M.spread.EURHUF","Swap.3M.spread.HUFEUR","Swap.3M.spread","EMBI","HUN.5Y.USD.CDS","Swap.tender","FX.tender"
"6/27/2014",0.0509632383923171,0.215260677437177,1.16941550630311,-0.758857648803846,-0.730013436263434,-0.310415991992123,-0.142243121160955,0,0,0,0.896855690902626,-0.116995114426626,-0.98684756827663,-0.0475368984398583,-0.0971681749240416,-0.0546645353148123,-0.110407540461576,-0.0210278799332817,0,-6.70217329520821e-41,-1.37414115292871e-43
"6/27/2016",0.171695779078879,1.10172543013594,0.737487079071778,0.203356730180065,-0.87112657650096,0.565553444174502,2.12639236863337,0,0,0,-0.122798132320728,-0.116995114426626,-0.0217888988521161,-0.0475368984398583,-0.0971681749240416,-0.0546645353148123,-0.110407540461576,0.44618804061197,0,-1.35291764384568e-119,-2.21202464835051e-127
"6/27/2017",0.77307184267443,-2.1032949226105,0.998238790749506,-1.05898029791385,-0.848277468508097,-6.66498592965505,-0.133289988457188,0,0,0,0.00770037534717217,-0.116995114426626,-0.36897789653968,-0.0475368984398583,-0.0971681749240416,-0.0546645353148123,-0.110407540461576,-0.359272119222121,0,-0.000281287752054768,-0.000148628094382875
"6/27/2018",1.90571890090328,1.70674718732909,1.22700244718264,-1.11356187878146,-1.36088854280292,1.10238757198649,-0.174062123913486,0,0,0,0.961236494104617,-0.116995114426626,0.154706566992407,-0.0475368984398583,-0.0971681749240416,7.79718757366529,1.43342922293359,0.561479342211558,0,1.49359845491673,1.44662571359752
"6/28/2010",0.225650678132645,0.847278754008201,0.566780791139886,0.479133642882074,-0.513849082195697,-0.944906429697908,-0.135081275970792,0,0,0,-0.145361923002063,-0.116995114426626,-1.25835767716921,-0.0475368984398583,-0.0971681749240415,-0.0546645353148123,-0.110407540461576,0.336743573510436,0,-0.00313062854459934,-0.00198603514345623
"6/28/2011",0.429185115073128,-0.47595562774329,0.255864153852728,1.12183849571944,0.416969393571448,-0.996143315542916,-0.144493742199632,0,0,0,-0.803817185008559,-0.116995114426626,-0.520157359701236,-0.0475368984398583,-0.0200137200100253,-0.0546645353148123,-0.0218722456724434,-1.14097583338465,0,-0.381000083241924,-0.358981358191293
"6/28/2012",-0.350147343923579,1.48072764740312,1.93772007162816,0.14164351252693,-0.975281898106489,0.12562128394058,-0.125312174729211,0.438152267845121,0.449460676148913,0.586640792041075,0.481195910296348,-0.116995114426626,0.194981125774371,-0.0475368984398583,-0.0971681749240416,-0.0546645353148123,-0.110407540461576,0.799681207867224,0,-9.54764382579495e-71,-2.20486490638801e-75
"6/28/2013",0.292691341858506,-0.0309009994014809,-0.401205579829349,-1.15316485250945,-0.952221887273876,0.0393827034497449,-0.078900785039733,0,0,0,2.37323366775965,-0.116995114426626,-0.970483062336312,-0.0475368984398583,-0.0971681749240416,-0.0546645353148123,-0.110407540461576,-0.722457601189928,2.82297388428635,-3.1747944705371e-07,-1.14666880344991e-07
"6/28/2016",-0.599972271158383,-0.826032457960329,-1.05802064960038,-1.95155990461497,-1.0214617714901,-0.0118421723531074,1.13277262221572,0,0,0,0.27380515654629,-0.116995114426626,-0.78734461518178,-0.0475368984398583,-0.0971681749240416,-0.0546645353148123,-0.110407540461576,-1.18623501721691,0,-1.36028038910281e-120,-1.91735875290748e-128
"6/28/2017",0.036085378497658,-0.915769362337557,-0.815786912424035,-0.963085677335657,-1.09185587899857,0.0424561450636017,-0.115716395246284,0,0,0,-0.0319931197185227,-0.116995114426626,0.633567115319634,-0.0475368984398583,-0.0971681749240416,-0.0546645353148123,-0.110407540461576,0.22491797328758,0,3.98597383304927,3.83838990707536
