"","TED.spread","HUF.3Y.overquote","HUF.5Y.overquote","HUF.3Y.HUF.5Y.overquote","Swap.3M.spread","Swap.3M.5Y.spread","CHFHUF","CHF.ON","HUF.ON","CHFHUF.3M","HUN.5Y.USD.CDS","CHF.3M.Libor","CHF.ON.Libor","EMBI","FX.tender","CHF.OIS.3M","Swap.tender"
"11/19/2013",-0.719427646202939,-0.239924290878557,-0.428264742880968,-0.299788635335094,-0.106081087433361,-1.09122012324125,-0.366019730611022,-0.172544747839354,1.78558956437103,-0.360166246851703,0,-0.0292286089185145,-0.0507226431101886,1.03275482245098,-8.69911920881247e-72,0.0876581397053529,-1.65464728096494e-72
"11/19/2014",-0.727605123739448,0.0767943997595942,-0.24001164709262,-0.215165257417134,-0.106081087433361,0.994223723941071,0.34115150814788,0.0781463707582262,0.431351087159402,-0.153373874156777,0,-0.596879330343314,2.2997445349883,-0.31525223880281,-0.41609863877328,0.000998772081756518,-3.23551189727176e-36
"11/19/2015",-0.0263099719671292,0.224010799049734,0.142514988697317,0.21513702968753,-0.106081087433361,0.801248316266858,-0.402998998335082,-0.621509542643734,-0.843134483608656,-0.471933478675579,0,0.863189693664402,0.557767163110754,0.847275059012952,4.28195071389386e-73,-0.137254541459538,-1.89540175144669e-72
"11/19/2018",0.929822174117819,-0.323664366510515,0.0591051016087589,0.063272073532239,-0.0644934167539806,1.71916212314311,-0.895918928130192,-0.452082371188957,-0.34714158539934,-0.921496763009715,0,1.52768852049567,0.921626623844246,-2.73678015734725,-0.141710164889728,-0.00358530623299398,-0.100781852239845
"11/2/2009",NA,0,0,0,NA,NA,0.857554735486759,-0.349800531167503,-2.44718396308796,NA,NA,NA,NA,NA,NA,NA,NA
"11/2/2010",NA,0,0,0,NA,NA,-0.469266890599542,-0.26917790781054,0.0783947203298603,NA,NA,NA,NA,NA,NA,NA,NA
"11/2/2011",1.01081995403035,-0.562742787940584,-0.327389678265647,-0.861567546099379,-3.29123695471338,1.80634779887383,0.862728768371179,-0.147355905296936,-0.808603143600687,-1.44427660001649,0,0.261483548101685,0.240806460013522,1.77931746763186,-2.9661637711496,0.209039030061018,-3.25953899802273
"11/2/2012",-1.24589529941939,-0.42205353844754,-0.408194133461989,-0.398441734133848,-0.106081087433361,-0.963428404901139,-0.276841620908667,0.219404751320136,0.0632042493513278,-0.831273426625434,0,0.0492645994604682,0.22628432434161,0.131228573227691,-3.09114534577761e-91,-1.04178473848485,2.3754146546715e-90
"11/2/2015",0.288738848678973,-0.687308572363016,-0.579110264420352,-0.650321567741599,-0.106081087433361,0.799365939959051,-0.216868323958287,0.0634826372309671,0.901924155457715,-0.488056016875457,0,-0.746494661098475,-0.101621526869596,2.57298149953806,2.38159434882721e-109,-0.479883485684314,-4.77718051555926e-109
"11/2/2016",1.14412797011441,0.355222746098307,0.296818934153573,0.194166734289847,-0.106081087433361,0.378636539578005,0.824443507128885,-0.266783505531297,0.842017413827547,0.255939012837024,0,-0.997754988996357,-1.14684483770631,0.314466742011075,2.87749244803348e-18,1.65356057507194,4.05833800219511e-18
"11/2/2017",-0.498419364602338,0.140471110276458,0.1317924118288,0.0233326133170982,-0.127638250353777,1.48396416672565,-0.316632569628082,-0.420897958606276,1.8160445849101,-0.626452202883469,0,0.755254965586187,1.04259551561237,-2.20442352587617,3.60408195948094,-0.704893991990838,3.88820331726923
